id,name,city_id,address,images,longitude,latitude,avg_rating,equipment_ids,association_ids,activity_ids,nb_ratings,schedule_openings,phone_number,website,owner_type
33100005,Clos des Celestins, ,"2 Avenue des CC)lestins, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipNccUrtd00ZSIEGYLenfby9dhpzA3Ke4hAi8Rhr=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOMmGpT6XsFEbsR0ytN3mXdI13Jj8eb1HqHQ48h=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMvkatO4R9YIRczwmTmumZgy_2i03L7Y9kxiOyj=s1600-w900-h900,3.42564,46.12966,4.0,2647, ,188,1.0,closed|closed|closed|closed|closed|closed|closed,,, 
33100006,Plage des CC)lestins, ,"Boulevard John Kennedy, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipM5xtarCZe2DU0-8RFITa4fOc81MSljVSwiRdUv=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOsXZhuJlZIsvV51svfvBOm8f6QWBMlfqLveuG9=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMRwnWSkGQBj8wnkGwxVLiW0bn5SG21htsU-QSu=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMWCrAIjmNj7lYMKvjOSl9iEGsUy6OIehtj5EoP=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipN0XiPaX5cZJKlXBYdP0eoDfFZLkvSIhzCrNvk=s1600-w900-h900,3.4222,46.11867,4.2,2663, ,188,392.0,11h - 00h|11h - 00h|11h - 00h|11h - 00h|11h - 00h|11h - 00h|11h - 00h,,https://www.ville-vichy.fr/decouvrir-et-sortir/loisirs/plage-celestins, 
33100010,Stade Equestre de Vichy, ,"106 Rue Jean JaurC(s, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipNlDQhIZjcZt-WZhHTssaOzGyyv2X5sVeU081zU=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOQK5xu-hqu2SHFSbhQdr7iGzyRMY7dOcdSW5ao=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOBdOiUMmzzMkFtla7pJKfThENtbAE3STdf1pLq=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMmraifgDS5l2t2AWhMJTszu-iHe1Lofut_qOCi=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMmls1NYKZErKmj1KGdcLoPQvHvrp2wMcqnlyx9=s1600-w682-h775,3.425185,46.132575,5.0,4465|4469, ,81,6.0,08h30 - 12h30 / 13h30 - 17h30|08h30 - 12h30 / 13h30 - 17h30|08h30 - 12h30 / 13h30 - 17h30|08h30 - 12h30 / 13h30 - 17h30|08h30 - 12h30 / 13h30 - 17h|closed|closed,04 70 31 67 81,http://www.csi-vichy.com/, 
33100012,Parc du Soleil, ,"Avenue de France, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipN402ojk1G6Kl9GW3c_fEDm9_58PYUyH4gJ7QL8=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPT5ubNcB_OLDTuUd1Y49pFNiGmQWea-H1IKLP1=s1600-w900-h900,3.42705,46.11857,5.0,4482|4485|4487, ,42|113,2.0,closed|closed|closed|closed|closed|closed|open,04 70 32 32 84,, 
33100021,Gymnase des Ailes, ,"26 AllC)e des Ailes, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipOy9_ut4vp3tIH_LeccQQq8lp_yx_VuzArpD04k=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPkVIy5u5m0e8TzyvIP9LVQ2BURdjSVSTfslkju=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMMmu1Ifcor13qgE0MfYQuD55oVq8e1MZ96IpNt=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOoyj6Qa95TC6_FEwVqlai_gPKFCZIKNiyG10mp=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPCJGdEXYj2VumSjDWxG4bI5Qr1AwtYTL_5XZfu=s1600-w900-h900,3.4158800000000005,46.13813,4.0,6474|6486, ,42,5.0,closed|closed|closed|closed|closed|closed|closed,,, 
33100022,Gymnase de la MutualitC), ,"42 Boulevard de la MutualitC), 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipN18y2gODCaqxSghOrU03uP5gS2hxs0MpmW-8Ng=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipM2yuTraUCxQwpIXpy9j6ty1WxBzJ3yQdcibZQB=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipORKo2Uvl3nl3e7VnqMVMRwgqaMk9SIvY5a5XlV=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOzzMu4VUJ2RkEZ4d_LGJIlaPaiUcmee_mJP5Sj=s1600-w900-h900,3.4297,46.1319,4.1,6500|6505, ,197|28,57.0,closed|closed|closed|closed|closed|closed|closed,,http://vichy-gym03.sportsregions.fr/, 
33100024,Gymnase de la Rue Belin, ,"5 Rue MarC)chal Joffre, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipMbSxcIs1N54KQRpNtS4-V59ue5QcPKhMfPALxL=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipO_B2-wGQejy8R0BKIrwh3Iz0TWBTjEerQP22nu=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPHd5scD1MudTfU2npLg4h9shKnkSSxe19CjapC=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipO5Eo3ig-x9-b1_pO42VXpEPVYPgmTfjOrlLcPK=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipN-cAQOPBbZrB2qC6Mft9-6r3jGZpu6zgYnNHaj=s1600-w900-h900,3.42706,46.12713,4.7,6524, ,31,13.0,closed|closed|closed|closed|closed|closed|closed,04 70 59 98 63,http://sl-vichy-tt.e-monsite.com/, 
33100026,Gymnase des Celestins, ,"5 Rue MarC)chal Joffre, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipMbSxcIs1N54KQRpNtS4-V59ue5QcPKhMfPALxL=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipO_B2-wGQejy8R0BKIrwh3Iz0TWBTjEerQP22nu=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPHd5scD1MudTfU2npLg4h9shKnkSSxe19CjapC=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipO5Eo3ig-x9-b1_pO42VXpEPVYPgmTfjOrlLcPK=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipN-cAQOPBbZrB2qC6Mft9-6r3jGZpu6zgYnNHaj=s1600-w900-h900,3.4241699999999997,46.12182,4.7,6622|6625|6630|6633|6637, ,42|211|31|95,13.0,closed|closed|closed|closed|closed|closed|closed,04 70 59 98 63,http://sl-vichy-tt.e-monsite.com/, 
33100027,Stade Municipal Louis Darragon, ,"38 Boulevard de la RC)sistance et de la DC)portation, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipNetbwwcw_4qOo7dc3oNrun9PTYYDR1R_h1ORk2=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMNvaF7KQQSebFdg6hV_6MqTHokSsz05ZVdAg-l=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipMu-K4HYGic-PUoaCHtjwlt_KkI40sDCtDOLMrI=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipNqCbZ5bA8bMrsi6pybXCbFkdeusqCpRZPQtsxa=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPSgneFDK1hgp0TGa2ums21mkfZHTNxpCAi3WoA=s1600-w900-h900,3.4169519999999998,46.134613,4.0,6723, ,113,122.0,closed|closed|closed|closed|closed|closed|closed,04 70 31 24 93,https://www.ville-vichy.fr/carte/stade-darragon, 
33100030,Equipements Sportifs du CollC(ge Saint-Dominique, ,"10 Boulevard Carnot, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipNQ2uY7teCr8oG3wGXekOS0U5Ky8N578KBcBwxw=s1600-w900-h500|https://lh3.googleusercontent.com/p/AF1QipOrxqSypLg2X2bR5_M7gUIkqgLT4SWcx_5xeugw=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipORZWVR846MFJbc9_66cDMR91_7xxBwJ_AbSQBF=s1600-w850-h531|https://lh3.googleusercontent.com/p/AF1QipPpZBmgy0rk-w1V9o56nWo90VccQ01hhcoa6HdF=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOOiP_h6DbQUzlAB-GqQCIGexRYokl2Sk5D6V3f=s1600-w640-h426,3.4239533333333334,46.12256666666666,4.4,9124|9127|9130, ,42|74,9.0,07h30 - 18h|07h30 - 18h|07h30 - 12h|07h30 - 18h|07h30 - 17h|closed|closed,04 70 30 85 85,http://www.jastdo-vichy.fr/, 
33100033,Spa Vichy CC)lestins, ,"111 Boulevard des C	tats Unis, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipMxA58c_o_yTy2H8tE1TcOM7lh5ydkx5KYvHf1K=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPf2Jbl6kR0df1YL34HCjBMXAAs0_pLX-b_xtfF=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPKAZHNft-aPVMkXblYMJ-7kFMd3RhSB_qyrmuH=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipNPD1o0Gxzu51otsTR9ddw1lOXvb1tftz6S5xdY=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipNdjtViswXBC-d10QHftpmlNDKwGuwBa4xSRDDR=s1600-w900-h900,3.41733,46.124476666666666,4.2,13795|13797|13800, ,92|202|84,906.0,09h - 20h|09h - 20h|09h - 20h|09h - 20h|09h - 20h|09h - 20h|09h - 13h,04 70 30 82 00,http://www.vichy-spa-hotel.fr/, 
33100034,Centre Thermal des DC4mes, ,"132 Boulevard des C	tats Unis, 03200 Vichy, France",https://lh3.googleusercontent.com/p/AF1QipPlamuYYFAb2d9QtkZYsBY8HeMfcAiL4KyuZc_F=s1600-w900-h415|https://lh3.googleusercontent.com/p/AF1QipPOG4HAqrbn4wv_yoJX7I2PGYXUnNCK4vyUb_Ic=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipOFWlAPFihcTrGh1DL2KUONxP_6dVZFkKi4xQrJ=s1600-w900-h682|https://lh3.googleusercontent.com/p/AF1QipORr72_ll96YlO47O5ElUTP-ETK-_L1Mo7o18kt=s1600-w900-h900|https://lh3.googleusercontent.com/p/AF1QipPEYeX4W00k5I7GGXo1j_65QHePGxodRxv2lpMJ=s1600-w290-h410,3.4180800000000002,46.1269,3.9,17774|17776|17778, ,92|202|84,235.0,08h - 19h|08h - 19h|08h - 19h|08h - 19h|08h - 19h|08h - 19h|09h - 12h,0 800 30 00 63,http://www.thermes-de-vichy.fr/, 
